estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
consensus,0.25,9,1.0,0.05,6.9688788573316645,24.393715351803884,3.430831578732862,24.480726073284387
consensus,0.3,0,1.0,0.05,7.328343246070243,21.02099969558466,3.80968054011323,21.062166755568796
consensus,0.3,1,1.0,0.05,7.517362593064234,21.028448936772826,3.8762531895527976,21.023066190342835
consensus,0.3,2,1.0,0.05,7.532718291282718,21.089978951455286,4.2284038013946565,21.104330959218167
consensus,0.3,3,1.0,0.05,7.781153063630507,21.006645213840756,4.106679293800072,21.013684741033785
consensus,0.3,4,1.0,0.05,7.375460874978534,21.173476998413573,3.858588037820503,21.228654437835253
consensus,0.3,5,1.0,0.05,7.705042258098932,20.958028904508698,3.8020158335537326,21.022685585573665
consensus,0.3,6,1.0,0.05,7.109596903407251,21.119454783107443,3.822558565949045,21.09821757232372
consensus,0.3,7,1.0,0.05,7.608471682261954,20.93649920390559,3.808214005147589,20.926406810903146
consensus,0.3,8,1.0,0.05,7.4314080097355335,21.167314987345627,3.9186156412106423,21.226133120062926
consensus,0.3,9,1.0,0.05,7.2046317102067485,20.990866193959675,3.6534238537632078,21.069508097369695
anomaly_within,0.0,0,1.0,0.05,16.687476543064108,146.68789873867468,8.215613639695453,146.9445992689734
anomaly_within,0.0,1,1.0,0.05,17.30773441095701,146.11136462995506,8.397561936485937,146.091992654682
anomaly_within,0.0,2,1.0,0.05,19.066371527090112,152.54930026434857,9.130221884993775,152.55268821941684
anomaly_within,0.0,3,1.0,0.05,18.108974569488648,147.22618718997597,8.796873483970343,147.23338548560335
anomaly_within,0.0,4,1.0,0.05,17.498963318410247,152.7844025724227,8.497671571055495,153.13157590593858
anomaly_within,0.0,5,1.0,0.05,17.40333793940252,143.63635089056663,8.188967760476253,143.78962498175332
anomaly_within,0.0,6,1.0,0.05,17.814627243612843,149.46717733751757,8.331822651280888,149.30526184129974
anomaly_within,0.0,7,1.0,0.05,19.17127618942907,145.0048689370995,8.148101898847333,144.99353775736049
anomaly_within,0.0,8,1.0,0.05,18.67138691155947,150.41533339094173,8.416258310298126,150.6362034966931
anomaly_within,0.0,9,1.0,0.05,17.324164185212865,148.01053440434657,8.542002166561828,148.37999468563908
anomaly_within,0.02,0,1.0,0.05,16.323043485841275,143.55279271325048,8.076757596586358,143.77973323414946
anomaly_within,0.02,1,1.0,0.05,16.960941526719235,143.25322159930585,8.252150632566266,143.2310259028191
anomaly_within,0.02,2,1.0,0.05,18.667535745256387,149.16317689592702,8.944259001259155,149.20562319020627
anomaly_within,0.02,3,1.0,0.05,17.692655884664834,144.04400122793604,8.699932295637293,144.0551692129397
