estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
anomaly_within,0.08,7,1.0,0.05,17.516409737102382,131.1290449877988,7.416963487725698,131.1287194610279
anomaly_within,0.08,8,1.0,0.05,17.130496618474798,137.85841689925155,7.7026849868372596,138.13652016386806
anomaly_within,0.08,9,1.0,0.05,16.079574685785012,134.24874526871739,7.70234080698561,134.5974677062575
anomaly_within,0.1,0,1.0,0.05,15.233769282370984,131.5115606372562,7.3923967240000135,131.70309266182434
anomaly_within,0.1,1,1.0,0.05,15.420690584930409,130.8847129413829,7.4762345742920635,130.84482311862243
anomaly_within,0.1,2,1.0,0.05,16.76047098040029,132.24013907994026,7.95316857492694,132.3264101644524
anomaly_within,0.1,3,1.0,0.05,16.192976988809423,129.92727082859878,7.81330198273066,129.96921234660692
anomaly_within,0.1,4,1.0,0.05,15.603964769394205,135.46013797985086,7.655231574042443,135.75452226865423
anomaly_within,0.1,5,1.0,0.05,15.394007536605772,127.41250356365053,7.186262765652151,127.6112898421774
anomaly_within,0.1,6,1.0,0.05,15.690613610210526,131.83214287906878,7.289089695414395,131.70874830462182
anomaly_within,0.1,7,1.0,0.05,16.947721327640767,128.0852101668996,7.147150245682896,128.07017672680252
anomaly_within,0.1,8,1.0,0.05,16.61086482960739,134.75620056275648,7.478484690680903,135.0021293106447
anomaly_within,0.1,9,1.0,0.05,15.70024022727233,130.93117348505316,7.514696743750129,131.26349090646815
anomaly_within,0.12,0,1.0,0.05,11.255891997506817,93.93917482610797,5.529015522071474,94.06085010239556
anomaly_within,0.12,1,1.0,0.05,11.740454837001938,93.85653889807341,5.702373507634384,93.82267449311519
anomaly_within,0.12,2,1.0,0.05,12.767968173359055,94.74821883892875,6.0047152950913105,94.78592472766621
